"trial_tag","rt","response","trial_type","trial_index","plugin_version","time_elapsed","screen_failed","block","vignette_id","domain","offloading","consequences","version","measure","question_order","stimulus","slider_start"
"","2372","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","14","2.1.0","22485","","","5","Gesundheitsversorgung/Pflege","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","3336","50","html-slider-response","15","2.1.0","25824","","","5","Gesundheitsversorgung/Pflege","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Diätassistentin Sarah R. arbeitet in der Zentralküche einer Klinik. Am Vormittag erhält sie von der Pflege der Station die Information, dass bei Patient Herrn W. für das Mittagessen eine Kostformanpassung notwendig ist. Sobald das automatische Produktionsprotokoll für die Mittagsausgabe aus dem Drucker kommt, soll sie kontrollieren, ob die Änderung korrekt übernommen wurde, da es hier in letzter Zeit häufiger zu Fehlern gekommen war.Sarah ist sich sicher, daran denken zu können.Anschließend bearbeitet sie eine Nährwertberechnung und überprüft später Lieferunterlagen im hinteren Bereich der Küche.Während sie dort beschäftigt ist, wird das Mittagsprotokoll automatisch ausgedruckt. Das Ausgabeteam nimmt den Ausdruck mit, um die Tabletts vorzubereiten. Als Sarah später wieder an ihrem Arbeitsplatz vorbeikommt, bemerkt sie, dass sie den Ausdruck bereits verpasst hat.Sie ruft sofort auf der Station an und erfährt, dass der Patient das Mittagessen bereits erhalten hat und die Kostformänderung nicht umgesetzt wurde.Im Laufe des Nachmittags meldet die Pflege, dass Herr W. nur ein leichtes, schnell vergangenes Unwohlsein angegeben hat.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","3055","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","16","2.1.0","28881","","","9","Betreuungs-/Aufsichtspflicht","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","899","50","html-slider-response","17","2.1.0","29783","","","9","Betreuungs-/Aufsichtspflicht","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Jonas T. verbringt den Nachmittag mit seinem demenzkranken Onkel, der nach einer kürzlich erfolgten Operation noch geschwächt ist und einen Mittagsschlaf hält. Sein Cousin bittet Jonas, sofort nachzusehen, sobald der Onkel wach wird, weil dieser beim Aufstehen seit der OP oft das Gleichgewicht verliert.Jonas arbeitet im Wohnzimmer im Homeoffice und nimmt sich vor, immer mal wieder nach seinem Onkel zu schauen. Während Jonas im Wohnzimmer arbeitet, erhält er einen wichtigen Kundenanruf und ist in die Beantwortung einiger wichtiger E-Mails vertieft, sodass er vergisst, gelegentlich nach seinem Onkel zu schauen.Während Jonas im Wohnzimmer arbeitet, erhält er einen wichtigen Kundenanruf. Um seinen Onkel nicht zu stören, schließt er kurz die Wohnzimmertür. Nach dem Gespräch vergisst er jedoch, sie wieder zu öffnen und widmet sich konzentriert seinen Mails. Als der Onkel im Schlafzimmer aufwacht, kann Jonas die Geräusche nicht hören. Erst als er später ein dumpfes Geräusch im Flur wahrnimmt, erinnert er sich an seine Aufgabe.Als er ins Schlafzimmer eilt, findet er seinen Onkel am Boden sitzend.Der Onkel klagt über leichte Schmerzen im Handgelenk, das er sich beim Abstützen eventuell geprellt hat. Weitere Verletzungen liegen nicht vor, Jonas will das verletzte Handgelenk vorsichtshalber ärztlich abklären lassen.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1076","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","18","2.1.0","30861","","","12","Betreuungs-/Aufsichtspflicht","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","679","50","html-slider-response","19","2.1.0","31543","","","12","Betreuungs-/Aufsichtspflicht","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Betreuerin Anastasia G. begleitet eine mehrtägige Jugendfreizeit. Der 10-jährige Jonas F. hat einen Typ-1-Diabetes und führt seine Insulinpumpe grundsätzlich selbstständig. Die Eltern und das Freizeitteam haben Anastasia jedoch darauf hingewiesen, dass Jonas besonders nach intensiven Tobespielen zu schnellen Blutzuckerabfällen neigt und manchmal vergisst, direkt danach eine Messung durchzuführen. Dort besteht das Risiko einer Hypoglykämie, wenn nicht rechtzeitig reagiert wird. Deshalb soll Anastasia immer dann, wenn die Gruppe nach einer intensiven Tobeeinheit wieder in den Aufenthaltsraum zurückkehrt, Jonas an die Blutzuckermessung erinnern und kurz sicherstellen, dass sie durchgeführt wird.Anastasia stellt das Blutzuckermessgerät bewusst gut sichtbar auf den Tisch direkt neben der Tür, sodass sie es automatisch sieht, sobald die Gruppe wieder den Aufenthaltsraum betritt. Als die Kinder zurückkommen, stellt ein anderes Kind seinen Rucksack direkt vor das Messgerät. Anastasia nimmt es in diesem Moment nicht wahr und vergisst die Blutzuckermessung.Später wirkt Jonas zunehmend blass und verwirrt, spricht langsamer und beginnt zu schwanken.Außerdem zittern seine Hände. Eine Messung zeigt einen deutlich zu niedrigen Blutzucker. Anastasia gibt ihm sofort Saft und etwas Glukosegel. Jonas braucht einige Minuten, bis er wieder klar reagieren kann, stabilisiert sich danach aber vollständig.Der Vorfall wird den Eltern berichtet, die mit einer Klage drohen.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1112","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","20","2.1.0","32657","","","7","Betreuungs-/Aufsichtspflicht","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","674","50","html-slider-response","21","2.1.0","33333","","","7","Betreuungs-/Aufsichtspflicht","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Lara N. betreut an einem Samstagabend den 13-monatigen Ben. Die Eltern erklären ihr vor dem Weggehen, dass Ben in letzter Zeit versucht, sich an den Möbeln hochzuziehen – vor allem am niedrigen Wohnzimmertisch. Sie bitten Lara, jedes Mal, wenn Ben sich daran hochzieht, ein weiches Kissen davorzulegen, weil er dabei manchmal nach vorne rutscht.Lara nimmt sich vor, daran zu denken, sobald sie sieht, dass Ben sich am Tisch hochziehen möchteIm Laufe des Abends spielt Ben mit Bauklötzen, wechselt zwischen verschiedenen Spielsachen und krabbelt immer wieder durch das Wohnzimmer. Lara ist gleichzeitig damit beschäftigt, ein Puzzle aufzuräumen und eine kurze Nachricht auf ihrem Handy zu beantworten. Währenddessen steuert Ben auf den Wohnzimmertisch hin, was Lara in diesem Moment nicht hinterfragt. Ein paar Minuten später hört sie Poltern.Ben sitzt auf dem Boden und weint. Er hat sich an der Stirn gestoßen und eine deutliche Platzwunde, woraufhin Lara den Rettungsdienst ruft.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","884","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","22","2.1.0","34219","","","26","Umweltschutz","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","643","50","html-slider-response","23","2.1.0","34865","","","26","Umweltschutz","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Alex H. ist mit Freunden in einem Waldgebiet unterwegs. Als sie an ihrem Ziel ankommen, entzünden sie auf einer ausgewiesenen Feuerstelle ein Lagerfeuer. Alex denkt früh daran, dass das Feuer vor dem Verlassen des Waldes vollständig gelöscht werden muss. Da sie planen, sobald es dunkel wird zu gehen, stellt er sich direkt zu Beginn des Abends einen Wecker auf 21:30 Uhr, um nicht zu vergessen, die Glut zu löschen. Im Laufe des Abends ist Alex in Gespräche vertieft und schenkt dem Thema keine weitere Aufmerksamkeit.Als es dunkel wird, verlassen sie den Wald. Der Wecker, den sich Alex gestellt hatte, ging aufgrund des leeren Handyakkus nicht an.Das Feuer ist zu diesem Zeitpunkt bereits heruntergebrannt, jedoch glimmen noch deutlich sichtbare Glutreste in der Feuerstelle. Alex verlässt den Ort, ohne die Glut zu löschen.In der Nacht entzünden sich Glutreste erneut und verursachen einen kleineren Brand, der schnell gelöscht werden kann. Es kommt zu keinem Personenschaden, jedoch entsteht Sachschaden, und es besteht eine konkrete Gefahr für Menschen im Wald.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1160","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","24","2.1.0","36027","","","25","Umweltschutz","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","702","50","html-slider-response","25","2.1.0","36732","","","25","Umweltschutz","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Max B. arbeitet seit drei Jahren in einer Firma, die chemische Stoffe verarbeitet. Eine seiner regelmäßigen Aufgaben ist es, nach Produktionsschluss ein Ventil zu schließen, damit keine Restchemikalien in das Abwasser gelangen. An einem Tag ist der Ablauf besonders hektisch.Max setzt sich vor Schichtbeginn bewusst eine Erinnerung auf seinem Diensthandy, um nicht zu vergessen, das Ventil zu schließen.Als das Schichtende naht, wird er in ein Gespräch mit einem Kollegen verwickelt.Sein Handy löst zwar später die Erinnerung aus, doch Max übersieht die Nachricht verlässt das Gelände, ohne das Ventil zu schließen.Über Nacht gelangen Schadstoffe in das Abwassersystem. Die Konzentration liegt zwar nur leicht über den gesetzlichen Grenzwerten, jedoch besteht ein Gesundheitsrisiko für Anwohner, die informiert und vorsorglich gewarnt werden.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1163","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","26","2.1.0","37898","","","18","Arbeits- und Betriebssicherheit","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","791","50","html-slider-response","27","2.1.0","38694","","","18","Arbeits- und Betriebssicherheit","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Elektronikerin Mara K. und ihr Gehilfe Leon P. sollen in einer Werkhalle eine defekte Steckdosenleiste ausbauen. Dafür muss der zugehörige Stromkreis abgeschaltet werden. Mara weist Leon an, den Schalter am Sicherungskasten umzulegen, bevor sie mit dem Ausbau beginnt. Kurz bevor Leon dies tun kann, wird er von einem Kollegen gebeten, beim Tragen eines schweren Geräts zu helfen.Leon nimmt sich fest vor, sobald er wieder am Sicherungskasten steht, den Stromkreis abzuschalten.Mara geht davon aus, dass der Stromkreis abgeschaltet wurde und beginnt den Ausbau. Beim Kontakt mit einem aktiven Leiter erhält sie einen Stromschlag. Der elektrische Impuls führt zu einem unwillkürlichen Muskelzucken, wodurch ihre Hand gegen scharfkantiges Metall schlägt. Sie erleidet eine tiefere Kontaktverbrennung an den Fingern sowie eine schmerzhafte Zerrung der Unterarmmuskulatur infolge der Stromeinwirkung.Nach der Unterbrechung kehrt er zurück, wird jedoch durch eine Materialanfrage angesprochen und vergiss den Stromkreis abzuschalten.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1319","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","28","2.1.0","40016","","","16","Arbeits- und Betriebssicherheit","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","699","50","html-slider-response","29","2.1.0","40718","","","16","Arbeits- und Betriebssicherheit","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Fahrer Armin H. führt eine reguläre Auslieferungstour mit einem Transporter durch. Bei einem Zwischenstopp nimmt er unerwartet eine zusätzliche Palette Retouren auf und löst dafür einige der Zurrgurte.. Er nimmt sich vor, sobald alle Pakete verstaut sind, die Gurte wieder vollständig zu sichern.Während er die Pakete sortiert, erhält er den Anruf zur geänderten Lieferadresse. Nach dem Telefonat schließt er automatisiert die TürenNach dem Telefonat schließt er automatisiert die Türen und fährt los,Armin fährt los, ohne die Sicherung nachzuziehen. Auf einer Gefällstrecke rutscht die ungesicherte Palette nach vorne. Beim Entladen an der nächsten Filiale öffnet eine Mitarbeiterin die Hecktüren.Durch die Verschiebung lösen sich mehrere Kartons und bewegen sich nach vorne. Eine scharfkantige Kartonecke ritzt ihr dabei das Schienbein auf, sodass eine blutende, oberflächliche Schnittverletzung entsteht. Die Wunde wird vor Ort versorgt, die Mitarbeiterin kann weiterarbeiten.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1591","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","30","2.1.0","42310","","","6","Gesundheitsversorgung/Pflege","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","1212","50","html-slider-response","31","2.1.0","43526","","","6","Gesundheitsversorgung/Pflege","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Ute T. ist psychologische Psychotherapeutin in einer ambulanten Einrichtung. In der ersten Sitzung bittet ihr Patient Herr L. sie ausdrücklich darum, ihn im Wartebereich nie mit seinem vollständigen Namen aufzurufen, da er in einer hohen Führungsposition arbeitet und nicht erkannt werden möchte.Ute nimmt sich fest vor, beim Betreten des Wartebereichs daran zu denken.Nach der vorherigen Sitzung steht Ute gedanklich noch bei einem belastenden Thema der vorherigen Patientin. Als sie den Wartebereich betrittspricht sie Herrn L. reflexhaft mit seinem vollen Namen an.In der anschließenden Sitzung wirkt Herr L. leicht irritiert. Er berichtet, dass die Situation ihm „unangenehm“ gewesen sei, aber er bezweifle nicht grundsätzlich ihre Diskretion. Nach kurzer Klärung kann das therapeutische Gespräch regulär fortgesetzt werden.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1103","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","32","2.1.0","44631","","","15","Arbeits- und Betriebssicherheit","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","854","50","html-slider-response","33","2.1.0","45488","","","15","Arbeits- und Betriebssicherheit","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Lagerarbeiter Marius S. bereitet einen Sattelanhänger für die Entladung vor. Um die Ladebrücke abzusenken, entfernt er zwei Sicherungsstifte, die normalerweise die Rampe stabilisieren. Kurz darauf wird er von einem Kollegen um Hilfe gebeten. Er nimmt sich fest vor, beim Zurückkehren die Stifte sofort wieder einzusetzen, bevor jemand die Rampe befährt.Marius nimmt sich fest vor, beim Zurückkehren die Stifte sofort wieder einzusetzen, bevor jemand die Rampe befährt, und verlässt sich darauf, diesen Vorsatz sicher im Kopf zu behalten.Nach der Unterbrechung kehrt Marius zurück, während die Fahrerin bereits mit dem Hubwagen an den Anhänger heranfährt.In der Routine des Ablaufs gibt er die Entladung frei, ohne in diesem Moment an den fehlenden Stiftsatz zu denken.Die Fahrerin fährt mit dem Hubwagen auf die Rampe, die aufgrund der fehlenden Stifte deutlich nachgibt und seitlich wegkippt. Sie verliert das Gleichgewicht, stürzt vom Hubwagen und schlägt auf der Asphaltfläche auf. Sie erleidet eine schmerzhafte Verstauchung des Sprunggelenks sowie eine Fraktur des Handgelenks, die medizinisch versorgt werden muss.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1280","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","34","2.1.0","46771","","","14","Arbeits- und Betriebssicherheit","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","968","50","html-slider-response","35","2.1.0","47742","","","14","Arbeits- und Betriebssicherheit","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Louis W. ist Auszubildender im 1. Lehrjahr zum Koch und arbeitet in einer Großküche einer Gemeinschaftsverpflegung. Die Küchenmeisterin weist ihn an seinem ersten Arbeitstag an: Sobald die Pfannenwanne am Spülbecken abgekühlt ist, muss Louis das Bratfett in den vorgeschriebenen Fettsammelbehälter umfüllen. Das Fett darf nicht ins Spülbecken, da dies den Fettabscheider umgeht, gegen Umweltauflagen verstößt und zu Betriebsstörungen führen kann.Louis platziert zur Sicherheit den Sammelbehälter direkt unter die Pfannenwanne und legt zusätzlich den vorgeschriebenen Kunststofftrichter oben auf die Wanne, sodass er ihn entfernen müsste, bevor er überhaupt etwas ausschüttet.Als er später zur Pfanne zurückkehrt, beantwortet er gleichzeitig eine Arbeitsfrage eines Kollegen.Er legt gedankenversunken den Trichter beiseite, denkt an den nächsten Arbeitsschritt und gießt das Restfett ins Spülbecken, spült die Pfanne und stellt sie weg.Am nächsten Morgen meldet die Haustechnik eine massive Fettverstopfung, die zu einem kurzfristigen Ausstieg mehrerer Spülbereiche führt. Ein Fachbetrieb muss hinzugezogen werden, und der Vorfall wird nach Umwelt- und Küchenbetriebsauflagen formal erfasst.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1323","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","36","2.1.0","49066","","","22","Verkehr & öffentliche Mobilität","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
